id,code,name,region,sellerCentralUrl
A2EUQ1WTGCTBG2,CA,Canada,"Region.NA
",https://sellercentral.amazon.ca
ATVPDKIKX0DER,US,United States of America,Region.NA,https://sellercentral.amazon.com
A1AM78C64UM0Y8,MX,Mexico,Region.NA,https://sellercentral.amazon.com.mx
A2Q3Y263D00KWC,BR,Brazil,Region.NA,https://sellercentral.amazon.com.br
A1RKKUPIHCS9HS,ES,Spain,Region.EU,https://sellercentral-europe.amazon.com
A1F83G8C2ARO7P,UK,United Kingdom,Region.EU,https://sellercentral-europe.amazon.com
A13V1IB3VIYZZH,FR,France,Region.EU,https://sellercentral-europe.amazon.com
AMEN7PMS3EDWL,BE,Belgium,Region.EU,https://sellercentral.amazon.nl
A1805IZSGTT6HS,NL,Netherlands,Region.EU,https://sellercentral-europe.amazon.com
A1PA6795UKMFR9,DE,Germany,Region.EU,https://sellercentral-europe.amazon.com
APJ6JRA9NG5V4,IT,Italy,Region.EU,https://sellercentral.amazon.se
A2NODRKZP88ZB9,SE,Sweden,Region.EU,https://sellercentral.amazon.pl
AE08WJ6YKNBMC,ZA,South Africa,Region.EU,https://sellercentral.amazon.eg
A1C3SOZRARQ6R3,PL,Poland,Region.EU,https://sellercentral.amazon.com.tr
ARBP9OOSHTCHU,EG,Egypt,Region.EU,https://sellercentral.amazon.com.sa
A33AVAJ2PDY3EV,TR,Turkey,Region.EU,https://sellercentral.amazon.ae
A17E79C6D8DWNP,SA,Saudi Arabia,Region.EU,https://sellercentral.amazon.in
A2VIGQ35RCS4UG,AE,United Arab Emirates,Region.EU,https://sellercentral.amazon.sg
A21TJRUUN4KGV,IN,India,Region.EU,https://sellercentral.amazon.com.au
A19VAU5U5O7RUS,SG,Singapore,Region.FE,https://sellercentral.amazon.co.jp
A39IBJ37TRP1C6,AU,Australia,Region.FE,https://sellercentral.amazon.sg
A1VC38T7YXB528,JP,Japan,Region.FE,https://sellercentral.amazon.com.au
